,roll_time,rolls,time,treatment,won,opportunity_cost,opportunity_cost_linear,group,prize
0,16,6,82.304,b,False,0.06944444444444445,0.0390625,1,5
1,13,7,82.119,b,False,0.08442776735459663,0.042735042735042736,1,5
2,3,21,74.603,a,False,0.3453453453453454,0.07246376811594203,2,5
3,5,53,307.298,a,False,0.2029520295202952,0.01818181818181818,2,5
6,14,28,393.371,b,False,0.07338551859099804,0.011904761904761904,1,5
7,3,13,36.878,a,False,0.352112676056338,0.1111111111111111,2,5
8,10,7,61.245,a,False,0.10975609756097562,0.05555555555555556,2,5
10,4,74,339.409,a,False,0.2526595744680851,0.01644736842105263,2,5
11,17,20,338.897,b,False,0.06104328523862375,0.013368983957219253,1,5
12,18,15,263.675,b,False,0.05829903978052126,0.016339869281045753,1,5
13,14,21,283.881,b,False,0.07400257400257401,0.015527950310559006,1,5
14,4,7,24.74,a,False,0.27439024390243905,0.1388888888888889,2,5
15,3,24,86.905,a,False,0.34391534391534395,0.06410256410256411,2,5
16,3,47,179.566,a,False,0.33886583679114796,0.03401360544217687,2,5
18,4,49,204.3,a,False,0.2539840637450199,0.024509803921568627,2,5
19,17,3,34.825,b,False,0.0700280112044818,0.058823529411764705,1,5
20,14,8,104.263,b,False,0.07763975155279502,0.03571428571428571,1,5
21,14,29,408.593,b,False,0.07332071901608325,0.01152073732718894,1,5
22,26,15,370.263,b,False,0.04036087369420703,0.011312217194570135,1,5
23,14,16,219.122,b,False,0.07475083056478404,0.019841269841269844,1,5
25,11,106,1196.839,a,False,0.09158751696065127,0.004208754208754209,2,5
26,13,42,573.552,b,False,0.07834757834757836,0.008741258741258742,1,5
27,32,21,654.505,b,False,0.03237612612612613,0.006793478260869565,1,5
29,13,28,357.124,a,False,0.07903055848261327,0.01282051282051282,2,5
30,5,284,1498.882,a,False,0.20056100981767183,0.003496503496503497,2,5
31,15,8,105.983,b,False,0.07246376811594203,0.03333333333333333,1,5
32,14,10,130.444,b,False,0.07653061224489796,0.02976190476190476,1,5
33,19,7,114.372,b,False,0.05776636713735559,0.029239766081871347,1,5
34,4,68,303.248,a,False,0.25289017341040465,0.017857142857142856,2,5
35,3,39,137.685,a,False,0.3399668325041459,0.04065040650406504,2,5
36,3,18,65.741,a,False,0.34722222222222227,0.08333333333333333,2,5
37,4,129,553.756,a,False,0.2515360983102919,0.009541984732824428,2,5
38,13,9,108.709,b,False,0.08295625942684766,0.03496503496503497,1,5
40,5,118,676.369,a,False,0.20134228187919465,0.008333333333333333,2,5
41,4,202,913.98,a,False,0.25098425196850394,0.006127450980392157,2,5
42,18,65,1213.978,b,False,0.05622692178583418,0.004145936981757877,1,5
44,14,99,1375.736,b,False,0.07199885942400912,0.0035360678925035363,1,5
46,18,22,381.762,b,False,0.0574712643678161,0.011574074074074073,1,5
47,27,58,1558.262,b,False,0.03753753753753754,0.0030864197530864196,1,5
49,3,54,182.715,a,False,0.3381642512077294,0.029761904761904757,2,5
51,5,121,628.479,a,False,0.2013093289689034,0.008130081300813009,2,5
52,3,11,36.768,a,False,0.3551912568306011,0.12820512820512822,2,5
53,3,43,140.716,a,False,0.33936651583710403,0.03703703703703704,2,5
54,3,55,186.687,a,False,0.3380782918149466,0.029239766081871343,2,5
55,3,58,183.599,a,False,0.3378378378378379,0.027777777777777776,2,5
56,3,76,239.907,a,False,0.3367875647668394,0.021367521367521364,2,5
57,6,43,267.79,a,False,0.16968325791855202,0.01851851851851852,2,5
58,4,64,254.565,a,False,0.25306748466257667,0.01893939393939394,2,5
59,16,4,50.083,b,False,0.07211538461538461,0.05208333333333333,1,5
61,3,138,478.14,a,False,0.33524904214559387,0.011904761904761904,2,5
62,14,27,382.304,b,False,0.0734549138804458,0.012315270935960592,1,5
63,19,33,614.599,b,False,0.0538627269929209,0.007518796992481203,1,5
64,21,13,253.038,b,False,0.05030181086519114,0.015873015873015872,1,5
66,4,275,1240.038,a,False,0.250724112961622,0.004512635379061372,2,5
69,15,26,395.64,b,False,0.06862745098039216,0.011904761904761902,1,5
70,14,44,603.719,b,False,0.07269279393173199,0.007763975155279503,1,5
71,14,8,104.157,b,False,0.07763975155279502,0.03571428571428571,1,5
